"city","name","street_address","locality","address_region","postal_code","phone","website"
"Newburyport","Riverside Yoga And Massage","1 Titcomb St","Newburyport","MA","01950","(508) 237-1745","http://www.riverside-yoga.com"
"Newburyport","Bikram Yoga Seacoast","6 Merrill St","Newburyport","MA","01950","(978) 465-1727","http://bikramyoga.com"
"Newburyport","Lim Yoga","1 Hoyts Ln","Newburyport","MA","01950","(978) 255-4243",
"Newburyport","Repose Yoga Studio","49 Liberty St","Newburyport","MA","01950","(508) 423-3182","http://www.reposeyogastudio.com"
"Newburyport","Yoga Center of Newburyport","12 Maple St","Newburyport","MA","01950","(978) 225-3700","http://www.newburyportyoga.com"
"Newburyport","Psychic Readings","12 Pleasant St","Newburyport","MA","01950","(978) 255-7337","http://psychictina2296.wix.com/psychicreader"
"Newburyport","Engage Your Core","95 Parker St","Newburyport","MA","01950","(978) 462-4742",
"Newburyport","Fitness Together","3 Graf Rd Ste 6","Newburyport","MA","01950","(978) 961-0335","http://corp.fitnesstogether.com"
"Newburyport","James Eunice D Personal Training & Fitness Counseling Studio","31 Pleasant St","Newburyport","MA","01950","(978) 463-9450","http://www.eunicefitness.com"
"Newburyport","Newburyport Pilates","54 State St","Newburyport","MA","01950","(617) 571-8625","http://www.portpilatesstudio.com"
"Newburyport","Positive Works Studio","38 Washington St","Newburyport","MA","01950","(978) 417-2377","http://www.positiveworksstudio.com"
"Newburyport","R M & R M Fitness Inc","58 Merrimac St","Newburyport","MA","01950","(978) 358-8298",
"Newburyport","Yankee Homecoming Roadrace","241 High St","Newburyport","MA","01950","(978) 376-5328","https://yankeerace.com"
"Newburyport","Planet Fitness","45 Storey Ave","Newburyport","MA","01950","(978) 462-2500",
"Newburyport","Curves","45 Storey Ave","Newburyport","MA","01950","(978) 463-5967","http://www.curves.com"
"Newburyport","Special Ops Military Simulation","4 Anderson Ln","Newburyport","MA","01950","(978) 204-7874","http://specialopsmilsim.com"
